land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-193ddddb-1,2021,Grasslands,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-193ddddb,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3bb6b7cd-1,2021,Urban & Built-up,Built-up,Cool Evergreen Needleleaf Forest,BC-MAIN-3bb6b7cd,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-2587e541-1,2021,Open Shrublands,Moss & Lichen,Cold Evergreen Needleleaf Forest,QC-MAIN-2587e541,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-23155c25-1,2021,Grasslands,Tree Cover,Cool Evergreen Needleleaf Forest,BC-MAIN-23155c25,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-68c87980-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,YT-MAIN-68c87980,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b2148882-1,2021,Grasslands,Grassland,Cold Evergreen Needleleaf Forest,QC-MAIN-b2148882,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4a6187a4-1,2021,Urban & Built-up,Tree Cover,Cool Mixed Forest,ON-MAIN-4a6187a4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-9dd2b7f8-1,2021,Woody Savannas,Shrubland,Cold Evergreen Needleleaf Forest,SK-MAIN-9dd2b7f8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-387b06fe-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-387b06fe,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-de2f9639-1,2021,Urban & Built-up,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-de2f9639,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6e9b2449-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-6e9b2449,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f080c409-1,2021,Grasslands,Built-up,Cool Mixed Forest,ON-MAIN-f080c409,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-63b394c3-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-63b394c3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-52224e1e-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-52224e1e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-48fe2205-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-48fe2205,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-2e13aaa0-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-2e13aaa0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e0a6250e-1,2021,Barren,Moss & Lichen,Cold Evergreen Needleleaf Forest,MB-MAIN-e0a6250e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-28f3f0fc-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-28f3f0fc,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d9036091-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,NL-MAIN-d9036091,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-2d8801d6-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,NL-MAIN-2d8801d6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-860bbbfc-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-860bbbfc,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e05ed9fe-1,2021,Savannas,Permanent Water Bodies,Cold Evergreen Needleleaf Forest,YT-MAIN-e05ed9fe,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d59f82aa-1,2021,Woody Savannas,Grassland,Cool Mixed Forest,QC-MAIN-d59f82aa,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b1b28b01-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,NT-MAIN-b1b28b01,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-63f096a6-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,AB-MAIN-63f096a6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-be473617-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-be473617,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3c468faa-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-3c468faa,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-cb85213a-1,2021,Mixed Forests,Built-up,Cool Mixed Forest,ON-MAIN-cb85213a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-9de9bb0d-1,2021,Water,Permanent Water Bodies,,QC-MAIN-9de9bb0d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c5fefb01-1,2021,Woody Savannas,Permanent Water Bodies,Cool Mixed Forest,ON-MAIN-c5fefb01,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-feb13c30-1,2021,Woody Savannas,Tree Cover,Cool Evergreen Needleleaf Forest,BC-MAIN-feb13c30,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5e0d8b48-1,2021,Open Shrublands,Grassland,Cold Evergreen Needleleaf Forest,YT-MAIN-5e0d8b48,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-12c68d49-1,2021,Woody Savannas,Grassland,Cool Mixed Forest,ON-MAIN-12c68d49,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-891d3cb5-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-891d3cb5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
