land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-8e62bfbc-1,2021,Grasslands,Moss & Lichen,Low and High Shrub Tundra,NU-MAIN-8e62bfbc,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1ef8af2c-1,2021,Permanent Wetlands,Permanent Water Bodies,Low and High Shrub Tundra,NU-MAIN-1ef8af2c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eb73fd68-1,2021,Croplands,Grassland,Cool Mixed Forest,QC-MAIN-eb73fd68,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-9d41d417-1,2021,Savannas,Grassland,Cool Mixed Forest,QC-MAIN-9d41d417,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-2bb07cd3-1,2021,Deciduous Broadleaf Forest,Tree Cover,Cool Mixed Forest,ON-MAIN-2bb07cd3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-aa76f6f2-1,2021,Grasslands,Grassland,Temperate Evergreen Needleleaf Open Woodland,BC-MAIN-aa76f6f2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-0aadf28f-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-0aadf28f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1c674cd0-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-1c674cd0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-857b7b89-1,2021,Grasslands,Tree Cover,Low and High Shrub Tundra,BC-MAIN-857b7b89,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c720b195-1,2021,Grasslands,Grassland,Cold Evergreen Needleleaf Forest,BC-MAIN-c720b195,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8629a493-1,2021,Urban & Built-up,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-8629a493,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-538513cd-1,2021,Grasslands,Built-up,Cool Mixed Forest,ON-MAIN-538513cd,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-fefeaee4-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,ON-MAIN-fefeaee4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
