climate_category_id,year,scenario,category,main_id,source_id
CC-7607a50e-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-7607a50e,https://doi.org/10.1038/s41597-023-02549-6
CC-52c01ae4-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-52c01ae4,https://doi.org/10.1038/s41597-023-02549-6
CC-eac5a52b-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-eac5a52b,https://doi.org/10.1038/s41597-023-02549-6
CC-81a288d0-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-81a288d0,https://doi.org/10.1038/s41597-023-02549-6
CC-c8966bdc-1991_2020-historical-1,1991_2020,historical,,QC-MAIN-c8966bdc,https://doi.org/10.1038/s41597-023-02549-6
CC-eab8c362-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-eab8c362,https://doi.org/10.1038/s41597-023-02549-6
CC-8c7063b2-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-8c7063b2,https://doi.org/10.1038/s41597-023-02549-6
CC-3ef4f421-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",BC-MAIN-3ef4f421,https://doi.org/10.1038/s41597-023-02549-6
CC-9fed34a8-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",AB-MAIN-9fed34a8,https://doi.org/10.1038/s41597-023-02549-6
CC-33c09b8b-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-33c09b8b,https://doi.org/10.1038/s41597-023-02549-6
CC-084bd95c-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-084bd95c,https://doi.org/10.1038/s41597-023-02549-6
CC-1eee4ace-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-1eee4ace,https://doi.org/10.1038/s41597-023-02549-6
CC-844dcc47-1991_2020-historical-1,1991_2020,historical,,QC-MAIN-844dcc47,https://doi.org/10.1038/s41597-023-02549-6
CC-e25eed27-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-e25eed27,https://doi.org/10.1038/s41597-023-02549-6
CC-4c35e094-1991_2020-historical-1,1991_2020,historical,"Dfa - Cold, no dry season, hot summer",ON-MAIN-4c35e094,https://doi.org/10.1038/s41597-023-02549-6
CC-8825d90d-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-8825d90d,https://doi.org/10.1038/s41597-023-02549-6
CC-de2e2f8e-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",SK-MAIN-de2e2f8e,https://doi.org/10.1038/s41597-023-02549-6
CC-e928d96a-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-e928d96a,https://doi.org/10.1038/s41597-023-02549-6
CC-4f11f183-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NT-MAIN-4f11f183,https://doi.org/10.1038/s41597-023-02549-6
CC-46f71d5b-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-46f71d5b,https://doi.org/10.1038/s41597-023-02549-6
CC-5154702a-1991_2020-historical-1,1991_2020,historical,"ET - Polar, tundra",NU-MAIN-5154702a,https://doi.org/10.1038/s41597-023-02549-6
CC-6e9be24e-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-6e9be24e,https://doi.org/10.1038/s41597-023-02549-6
CC-8434dce0-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",AB-MAIN-8434dce0,https://doi.org/10.1038/s41597-023-02549-6
CC-2cc9bb06-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",YT-MAIN-2cc9bb06,https://doi.org/10.1038/s41597-023-02549-6
CC-895cb178-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NL-MAIN-895cb178,https://doi.org/10.1038/s41597-023-02549-6
CC-6c1d6ee6-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NT-MAIN-6c1d6ee6,https://doi.org/10.1038/s41597-023-02549-6
CC-0c5b40d8-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NB-MAIN-0c5b40d8,https://doi.org/10.1038/s41597-023-02549-6
CC-484e4fa3-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-484e4fa3,https://doi.org/10.1038/s41597-023-02549-6
CC-91cf5448-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",SK-MAIN-91cf5448,https://doi.org/10.1038/s41597-023-02549-6
CC-bb89158f-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",SK-MAIN-bb89158f,https://doi.org/10.1038/s41597-023-02549-6
CC-d3c471e8-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",SK-MAIN-d3c471e8,https://doi.org/10.1038/s41597-023-02549-6
CC-237587f6-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-237587f6,https://doi.org/10.1038/s41597-023-02549-6
CC-4c5c1179-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-4c5c1179,https://doi.org/10.1038/s41597-023-02549-6
CC-8e04eb21-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NB-MAIN-8e04eb21,https://doi.org/10.1038/s41597-023-02549-6
CC-37e9571e-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-37e9571e,https://doi.org/10.1038/s41597-023-02549-6
CC-3e7d42ac-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NB-MAIN-3e7d42ac,https://doi.org/10.1038/s41597-023-02549-6
CC-eae1621e-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NU-MAIN-eae1621e,https://doi.org/10.1038/s41597-023-02549-6
