tech_attr_id,year,commodity,reference_point,material_type,method,unit,value,comment,main_id,facility_group_id,company_id,source_id
TA-7001a391-2023-1,2023,Gold,Crude ore,Head grade,Reported,g/t,0.41,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7607a50e-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.156803241920649,Total waste rock generated taken for calculation,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-7607a50e-2023-2,2023,Gold,Crude ore,Mill grade,Reported,g/t,2.2,Assumed g/t,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-7001a391-2023-2,2023,Cobalt,Crude ore,Head grade,Reported,%,0.01,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-3,2023,Copper,Crude ore,Head grade,Reported,%,1.59,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7607a50e-2023-3,2023,Gold,Crude ore,Mill recovery rate,Reported,%,90.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-7001a391-2023-4,2023,Nickel,Crude ore,Head grade,Reported,%,0.23,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-5,2023,Palladium,Crude ore,Head grade,Reported,g/t,1.34,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-6,2023,Platinum,Crude ore,Head grade,Reported,g/t,1.03,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-7,2023,Silver,Crude ore,Head grade,Reported,g/t,14.05,,ON-MAIN-7001a391,,CMP-5f083f16,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7607a50e-2023-4,2023,Gold,Crude ore,Ore grade,Reported,g/t,2.2,Assumed g/t,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-7f050560-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,1.1810594530321,Total waste mined taken for calculation,ON-MAIN-7f050560,,CMP-ca642bce,SRC_EvolutionMiningLtd_EVN_FY24-ESG-Performance-Data_web
TA-8825d90d-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,5.79945622285082,Waste mined taken for calculation. Data from Alamos Gold,ON-MAIN-8825d90d,,CMP-a6812c47,SRC_ArgonautGoldInc_Data_2023
TA-8825d90d-2024-1,2024,Gold,Crude ore,Ore grade,Reported,g/t,0.81,Data from Alamos Gold,ON-MAIN-8825d90d,,CMP-a6812c47,SRC_ArgonautGoldInc_Data_2023
TA-8825d90d-2024-2,2024,Gold,Crude ore,Head grade,Reported,g/t,0.91,Data from Alamos Gold,ON-MAIN-8825d90d,,CMP-a6812c47,SRC_ArgonautGoldInc_Data_2023
TA-8825d90d-2024-3,2024,Gold,Crude ore,Recovery rate,Reported,%,95.0,Data from Alamos Gold,ON-MAIN-8825d90d,,CMP-a6812c47,SRC_ArgonautGoldInc_Data_2023
TA-ed23117f-2023-3,2023,Copper,Crude ore,Head grade,Reported,%,0.18,,BC-MAIN-ed23117f,,CMP-fa032e20,SRC_CenterraGoldInc_Data
TA-ed23117f-2023-4,2023,Copper,Crude ore,Recovery rate,Reported,%,77.6,,BC-MAIN-ed23117f,,CMP-fa032e21,SRC_CenterraGoldInc_Data
TA-aeafbb59-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,4.327581402800014,Total waste generated taken for calculation,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TA-cb85213a-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.649377658594869,Waste rock generated taken for calculation,ON-MAIN-cb85213a,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd_2024-MDA-FINAL
TA-3f490561-2023-3,2023,Copper,Crude ore,Ore grade,Reported,%,0.287,,BC-MAIN-3f490561,,CMP-0dfcd91e,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-3f490561-2023-4,2023,Copper,Crude ore,Recovery rate,Reported,%,80.0,,BC-MAIN-3f490561,,CMP-0dfcd91e,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-cb85213a-2023-2,2023,Gold,Crude ore,Head grade,Reported,g/t,12.6,,ON-MAIN-cb85213a,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd_2024-MDA-FINAL
TA-cb85213a-2023-3,2023,Gold,Crude ore,Recovery rate,Reported,%,96.9,,ON-MAIN-cb85213a,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd_2024-MDA-FINAL
TA-f4fc3276-2023-1,2023,Gold,Usable ore,Ore grade,Reported,g/t,5.1,Assumed ore grade,ON-MAIN-f4fc3276,,CMP-79f8bb59,SRC_SilverLakeResourcesLtd_AR_2023
TA-fefeaee4-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.682114785992217,Total waste rock generated taken for calculation,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_AR_2024
TA-fefeaee4-2023-2,2023,Ore,Crude ore,Mill ore grade,Reported,g/t,5.701,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2024
TA-fefeaee4-2023-3,2023,Ore,Crude ore,Mill recovery rate,Reported,%,95.7,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2025
TA-aa76f6f2-2023-4,2023,Copper,Crude ore,Ore grade,Reported,%,0.77,Assumed ore grade,BC-MAIN-aa76f6f2,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-aa76f6f2-2023-5,2023,Copper,Crude ore,Recovery rate,Reported,%,91.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-02884fb5-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,2.34391102514506,Mineral waste|Waste rock taken for calculation,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
TA-02884fb5-2023-2,2023,Ore,Crude ore,Head grade,Reported,g/t,3.03,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
TA-da0b5c3d-2023-3,2023,Copper,Crude ore,Head grade,Reported,%,1.03,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-4,2023,Copper,Crude ore,Recovery rate,Reported,%,93.3,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-5,2023,Copper,Usable ore,Concentrate grade,Reported,% Cu,15.44,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-02884fb5-2023-3,2023,Ore,Crude ore,Ore grade,Reported,g/t,3.19,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
TA-02884fb5-2023-4,2023,Ore,Crude ore,Recovery rate,Reported,%,93.0,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
TA-da0b5c3d-2023-6,2023,Silver,Crude ore,Head grade,Reported,%,25.11,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-7,2023,Silver,Crude ore,Recovery rate,Reported,%,81.5,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-8,2023,Zinc,Crude ore,Head grade,Reported,%,0.84,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-6dc537e6-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.361706201083684,Total waste rock generated taken for calculation,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-6dc537e6-2023-2,2023,Gold,Crude ore,Mill ore grade,Reported,g/t,4.785,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-6dc537e6-2023-3,2023,Gold,Crude ore,Mill recovery rate,Reported,%,91.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-9de9bb0d-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.848295561554397,Waste rock generated taken for calculation,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd_2024-MDA-FINAL
TA-9de9bb0d-2023-2,2023,Gold,Crude ore,Head grade,Reported,g/t,5.9,,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd_2024-MDA-FINAL
TA-8eb8be0d-2023-3,2023,Copper,Crude ore,Mill ore grade,Reported,%,0.4,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-8eb8be0d-2023-4,2023,Copper,Crude ore,Mill recovery rate,Reported,%,81.2,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-9de9bb0d-2023-3,2023,Gold,Crude ore,Recovery rate,Reported,%,98.3,,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd_2024-MDA-FINAL
TA-e51eda66-2023-7,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,1.46708992187948,Total waste generated taken for calculation,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TA-e51eda66-2023-8,2023,Gold,Crude ore,Head grade,Reported,g/t,5.23,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e51eda66-2023-9,2023,Gold,Crude ore,Recovery rate,Reported,%,93.5,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e7e6a960-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,1.0001405976077076,Total waste generated taken for calculation,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TA-0898e255-2023-3,2023,Copper,Usable ore,Concentrate grade,Reported,% Cu,20.11,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-4,2023,Copper,Crude ore,Head grade,Reported,%,0.74,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-5,2023,Copper,Crude ore,Recovery rate,Reported,%,90.4,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-e7e6a960-2023-2,2023,Gold,Crude ore,Head grade,Reported,g/t,1.17,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e7e6a960-2023-3,2023,Gold,Crude ore,Recovery rate,Reported,%,92.8,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-0898e255-2023-6,2023,Silver,Crude ore,Head grade,Reported,g/t,24.19,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-7,2023,Silver,Crude ore,Recovery rate,Reported,%,61.4,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-8,2023,Zinc,Usable ore,Concentrate grade,Reported,% Zn,51.84,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-9,2023,Zinc,Crude ore,Head grade,Reported,%,4.36,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-10,2023,Zinc,Crude ore,Recovery rate,Reported,%,82.2,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-f9e41c2a-2023-1,2023,Gold,Crude ore,Head grade,Reported,g/t,6.76,,QC-MAIN-f9e41c2a,,CMP-64d60fd7,SRC_EldoradoGold_Data
TA-d3a4aba9-2022-1,2022,Cobalt,Crude ore,Recovery rate,Reported,%,81.2,Includes other third pary feeds,AB-MAIN-d3a4aba9,,CMP-2ef1f553,SRC_SherrittInternationalCorporationandGeneralNickelCompanyS.A._TR_2023
TA-d3a4aba9-2022-2,2022,Nickel,Crude ore,Recovery rate,Reported,%,83.5,Includes other third pary feeds,AB-MAIN-d3a4aba9,,CMP-2ef1f553,SRC_SherrittInternationalCorporationandGeneralNickelCompanyS.A._TR_2023
TA-f9e41c2a-2023-2,2023,Gold,Crude ore,Recovery rate,Reported,%,0.971,,QC-MAIN-f9e41c2a,,CMP-64d60fd7,SRC_EldoradoGold_Data
TA-GRP-0a2c0d69-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,9.553804692355664,Total waste generated taken for calculation,,GRP-0a2c0d69,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TA-GRP-0a2c0d69-2023-2,2023,Gold,Crude ore,Head grade,Reported,g/t,3.86,,,GRP-0a2c0d69,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-GRP-0a2c0d69-2023-3,2023,Gold,Crude ore,Recovery rate,Reported,%,90.6,,,GRP-0a2c0d69,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-GRP-0d911886-2023-1,2023,Gold,Crude ore,Mill ore grade,Reported,g/t,3.015,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-GRP-0d911886-2023-2,2023,Gold,Crude ore,Mill recovery rate,Reported,%,91.4,,,GRP-0d911886,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-GRP-14bfbb82-2023-1,2023,Gold,Crude ore,Mill feed grade,Reported,g/t,10.14,,,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_FY2024
TA-GRP-14bfbb82-2023-2,2023,Gold,Crude ore,Recovery rate,Reported,%,97.0,,,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_FY2024
TA-GRP-147b3123-2023-1,2023,Gold,Crude ore,Ore grade,Reported,g/t,2.7,Assumed ore grade,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp._Financial_results
