tech_attr_id,year,commodity,reference_point,material_type,method,unit,value,comment,main_id,facility_group_id,company_id,source_id
TA-089f3c60-2022-1,2022,Iron,Usable ore,Concentrate grade,Reported,%,0.662,,QC-MAIN-089f3c60,,CMP-c08ac7d7,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
TA-3f490561-2023-1,2023,Gold,Crude ore,Ore grade,Reported,g/t,0.311,,BC-MAIN-3f490561,,CMP-0dfcd91e,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-3f490561-2023-2,2023,Gold,Crude ore,Recovery rate,Reported,%,70.4,,BC-MAIN-3f490561,,CMP-0dfcd91e,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-4724f4ba-2024-1,2024,Gold,Total extraction,Strip ratio,Reported,waste/ore,47.7,,BC-MAIN-4724f4ba,,CMP-d726df1c,SRC_GoldMountainMiningCorp_gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt
TA-4724f4ba-2024-2,2024,Gold,Crude ore,Ore grade,Reported,g/t,4.26,,BC-MAIN-4724f4ba,,CMP-d726df1c,SRC_GoldMountainMiningCorp_gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt
TA-599152a0-2023-1,2023,Ore,Total extraction,Strip ratio,Reported,waste/ore,3.82,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-2,2023,Gold,Crude ore,Head grade,Reported,g/t,0.07,,BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-3,2023,Copper,Crude ore,Head grade,Reported,%,0.35,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-4,2023,Copper,Crude ore,Recovery rate,Reported,%,79.7,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-5,2023,Copper,Usable ore,Concentrate grade,Reported,%,23.1,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-6,2023,Gold,Crude ore,Recovery rate,Reported,%,55.9,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-6b4800fe-2023-1,2023,Ore,Crude ore,Strip ratio,Reported,waste/ore,1.3,,BC-MAIN-6b4800fe,,CMP-e35f138c,SRC_TasekoMinesLimited_taseko-reports-strong-fourth-quarter-financial-performance-and-190-million-of-adjusted-ebitda-for-2023
TA-599152a0-2023-7,2023,Silver,Crude ore,Head grade,Reported,g/t,1.36,,BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-8,2023,Silver,Crude ore,Recovery rate,Reported,%,73.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",BC-MAIN-599152a0,,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-857b7b89-2023-1,2023,Ore,Crude ore,Mill ore grade,Reported,g/t,5.685,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-857b7b89-2023-2,2023,Ore,Crude ore,Mill recovery rate,Reported,%,96.0,,BC-MAIN-857b7b89,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-8eb8be0d-2023-1,2023,Gold,Crude ore,Mill ore grade,Reported,g/t,0.276,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-8eb8be0d-2023-2,2023,Gold,Crude ore,Mill recovery rate,Reported,%,54.2,,BC-MAIN-8eb8be0d,,CMP-4a434d72,SRC_NewmontCorporation_Operating_statistics_2023
TA-aa76f6f2-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.187133442088091,Waste rock generated taken for calculation,BC-MAIN-aa76f6f2,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-aa76f6f2-2023-2,2023,Gold,Crude ore,Ore grade,Reported,g/t,0.72,Assumed ore grade,BC-MAIN-aa76f6f2,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-aa76f6f2-2023-3,2023,Gold,Crude ore,Recovery rate,Reported,%,90.0,,BC-MAIN-aa76f6f2,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-ed23117f-2023-1,2023,Gold,Crude ore,Head grade,Reported,g/t,0.36,,BC-MAIN-ed23117f,,CMP-fa032e22,SRC_CenterraGoldInc_Data
TA-ed23117f-2023-2,2023,Gold,Crude ore,Recovery rate,Reported,%,64.0,,BC-MAIN-ed23117f,,CMP-fa032e23,SRC_CenterraGoldInc_Data
TA-0898e255-2023-1,2023,Gold,Crude ore,Head grade,Reported,g/t,3.45,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-2,2023,Gold,Crude ore,Recovery rate,Reported,%,64.8,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-be5b3dc8-2023-1,2023,Gold,Crude ore,Ore grade,Reported,g/t,4.74,,MB-MAIN-be5b3dc8,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-6b4800fe-2023-2,2023,Copper,Usable ore,Head grade,Reported,%,0.25,,BC-MAIN-6b4800fe,,CMP-e35f138c,SRC_TasekoMinesLimited_taseko-reports-strong-fourth-quarter-financial-performance-and-190-million-of-adjusted-ebitda-for-2023
TA-6b4800fe-2023-3,2023,Copper,Usable ore,Copper recovery,Reported,%,82.6,,BC-MAIN-6b4800fe,,CMP-e35f138c,SRC_TasekoMinesLimited_taseko-reports-strong-fourth-quarter-financial-performance-and-190-million-of-adjusted-ebitda-for-2023
TA-da0b5c3d-2023-1,2023,Gold,Crude ore,Head grade,Reported,g/t,6.76,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-2,2023,Gold,Crude ore,Recovery rate,Reported,%,88.6,,MB-MAIN-da0b5c3d,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-8b0264c9-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,3.1482939488870225,Total waste generated taken for calculation,NU-MAIN-8b0264c9,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TA-8b0264c9-2023-2,2023,Gold,Crude ore,Head grade,Reported,g/t,6.11,,NU-MAIN-8b0264c9,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-8b0264c9-2023-3,2023,Gold,Crude ore,Recovery rate,Reported,%,96.6,,NU-MAIN-8b0264c9,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-44857446-2024-1,2024,Silver,Crude ore,Head grade,Reported,g/t,944.0,,YT-MAIN-44857446,,CMP-7e360a1f,SRC_HeclaMiningCompany_TR_Keno_Hill_2024
TA-44857446-2024-2,2024,Lead,Crude ore,Head grade,Reported,%,2.11,,YT-MAIN-44857446,,CMP-7e360a1f,SRC_HeclaMiningCompany_TR_Keno_Hill_2024
TA-44857446-2024-3,2024,Zinc,Crude ore,Head grade,Reported,%,1.34,,YT-MAIN-44857446,,CMP-7e360a1f,SRC_HeclaMiningCompany_TR_Keno_Hill_2024
TA-0aadf28f-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,3.4725899132816,Waste rock generated taken for calculation,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-0aadf28f-2023-2,2023,Gold,Crude ore,Ore grade,Reported,g/t,0.99,Assumed ore grade,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-0aadf28f-2023-3,2023,Ore,Crude ore,Recovery rate,Reported,%,91.0,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_New_gold_production
TA-a3c56a83-2023-1,2023,PGM,Crude ore,Head grade,Reported,g/t,3.88,,ON-MAIN-a3c56a83,,CMP-967076a1,SRC_ImpalaCanadaLtd_FY2024
TA-be5b3dc8-2023-2,2023,Copper,Crude ore,Ore grade,Reported,%,0.86,,MB-MAIN-be5b3dc8,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-4e0734b5-2023-1,2023,Gold,Crude ore,Head grade,Reported,g/t,2.84,,ON-MAIN-4e0734b5,,CMP-3ff42329,SRC_McEwenMiningInc_SEC_2024
TA-be5b3dc8-2023-3,2023,Silver,Crude ore,Ore grade,Reported,g/t,24.51,,MB-MAIN-be5b3dc8,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-be5b3dc8-2023-4,2023,Zinc,Crude ore,Ore grade,Reported,%,3.0,,MB-MAIN-be5b3dc8,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
TA-4e0734b5-2023-2,2023,Gold,Crude ore,Ore grade,Reported,g/t,3.08,,ON-MAIN-4e0734b5,,CMP-3ff42329,SRC_McEwenMiningInc_SEC_2024
TA-687b8c8d-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,0.16768245966796233,Total waste rock generated taken for calculation,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-687b8c8d-2023-2,2023,Gold,Crude ore,Mill grade,Reported,g/t,9.48,Assumed g/t,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-687b8c8d-2023-3,2023,Gold,Crude ore,Mill recovery rate,Reported,%,97.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-e51eda66-2023-1,2023,Silver,Crude ore,Head grade,Reported,g/t,16.15,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e51eda66-2023-2,2023,Zinc,Crude ore,Head grade,Reported,%,0.44,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e51eda66-2023-3,2023,Copper,Crude ore,Head grade,Reported,%,0.13,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-687b8c8d-2023-4,2023,Gold,Crude ore,Ore grade,Reported,g/t,9.43,Assumed g/t,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
TA-e51eda66-2023-4,2023,Silver,Crude ore,Recovery rate,Reported,%,85.7,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e51eda66-2023-5,2023,Zinc,Crude ore,Recovery rate,Reported,%,76.8,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-e51eda66-2023-6,2023,Copper,Crude ore,Recovery rate,Reported,%,80.8,,QC-MAIN-e51eda66,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_operational_data
TA-6e9be24e-2023-1,2023,Ore,Crude ore,Strip ratio,Calculated,waste/ore,1.20852695359985,Waste rock mined taken for calculation,ON-MAIN-6e9be24e,,CMP-79bcdb91,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
