protected_area_id,land_name,land_type,distance_km,main_id,source_id
4176,SPATSIZI PLATEAU WILDERNESS PARK,A - Park,42.676,BC-MAIN-c720b195,https://www.protectedplanet.net
4176,SPATSIZI PLATEAU WILDERNESS PARK,A - Park,17.091,BC-MAIN-8eb8be0d,https://www.protectedplanet.net
4177,WELLS GRAY PARK,A - Park,22.937,BC-MAIN-18bed6d7,https://www.protectedplanet.net
4180,KWADACHA WILDERNESS PARK,A - Park,39.86,BC-MAIN-891d3cb5,https://www.protectedplanet.net
4181,MOUNT EDZIZA PARK,A - Park,13.48,BC-MAIN-c720b195,https://www.protectedplanet.net
4181,MOUNT EDZIZA PARK,A - Park,39.474,BC-MAIN-8eb8be0d,https://www.protectedplanet.net
4181,MOUNT EDZIZA PARK,A - Park,17.146,BC-MAIN-193ddddb,https://www.protectedplanet.net
4183,TATLATUI PARK,A - Park,13.601,BC-MAIN-e34feb4d,https://www.protectedplanet.net
4185,CATHEDRAL PARK,A - Park,33.62,BC-MAIN-599152a0,https://www.protectedplanet.net
4186_A,CAPE SCOTT PARK,A - Park,12.74,BC-MAIN-6fbdcf4c,https://www.protectedplanet.net
4186_B,CAPE SCOTT PARK,A - Park,29.181,BC-MAIN-6fbdcf4c,https://www.protectedplanet.net
5078,Micocoulier Ecological Reserve,Réserve écologique,7.821,QC-MAIN-de3d8b7b,https://www.protectedplanet.net
5078,Micocoulier Ecological Reserve,Réserve écologique,43.34,QC-MAIN-abb3e1c7,https://www.protectedplanet.net
10451,MOUNT ASSINIBOINE PARK,A - Park,30.233,AB-MAIN-8434dce0,https://www.protectedplanet.net
10451,MOUNT ASSINIBOINE PARK,A - Park,49.44,BC-MAIN-c7247100,https://www.protectedplanet.net
13104,GIBSON MARINE PARK,A - Park,48.112,BC-MAIN-23155c25,https://www.protectedplanet.net
18122,Brokenhead River Ecological Reserve,Ecological Reserve,33.134,MB-MAIN-0d5c2cae,https://www.protectedplanet.net
18122,Brokenhead River Ecological Reserve,Ecological Reserve,31.967,MB-MAIN-b4ca1426,https://www.protectedplanet.net
18131,Avalon Wilderness Reserve,Wilderness Reserve,43.321,NL-MAIN-d9036091,https://www.protectedplanet.net
18134,Bay du Nord Wilderness Reserve,Wilderness Reserve,39.198,NL-MAIN-251d6364,https://www.protectedplanet.net
18148,Couchepaganiche Ecological Reserve,Réserve écologique,26.513,QC-MAIN-3aa117d8,https://www.protectedplanet.net
18152,Lionel-Cinq-Mars Ecological Reserve,Réserve écologique,23.021,QC-MAIN-eac5a52b,https://www.protectedplanet.net
18152,Lionel-Cinq-Mars Ecological Reserve,Réserve écologique,49.537,QC-MAIN-c8966bdc,https://www.protectedplanet.net
18155,Marcel-Raymond Ecological Reserve,Réserve écologique,46.223,QC-MAIN-22426144,https://www.protectedplanet.net
18155,Marcel-Raymond Ecological Reserve,Réserve écologique,49.679,QC-MAIN-abb3e1c7,https://www.protectedplanet.net
18155,Marcel-Raymond Ecological Reserve,Réserve écologique,47.158,QC-MAIN-0414a373,https://www.protectedplanet.net
18162_A,Big Creek National Wildlife Area-Big Creek Unit,National Wildlife Area,38.722,ON-MAIN-b2e5c9bb,https://www.protectedplanet.net
18162_B,Big Creek National Wildlife Area-Hahn Unit,National Wildlife Area,43.218,ON-MAIN-b2e5c9bb,https://www.protectedplanet.net
18165,Bradwell National Wildlife Area,National Wildlife Area,35.296,SK-MAIN-d5c9124e,https://www.protectedplanet.net
18170,Columbia National Wildlife Area,National Wildlife Area,12.106,BC-MAIN-c7247100,https://www.protectedplanet.net
18176,Mohawk Island National Wildlife Area,National Wildlife Area,48.091,ON-MAIN-b2e5c9bb,https://www.protectedplanet.net
18176,Mohawk Island National Wildlife Area,National Wildlife Area,30.515,ON-MAIN-387b06fe,https://www.protectedplanet.net
18176,Mohawk Island National Wildlife Area,National Wildlife Area,24.351,ON-MAIN-2e13aaa0,https://www.protectedplanet.net
18182,Prince Edward Point National Wildlife Area,National Wildlife Area,45.804,ON-MAIN-6bd6cc80,https://www.protectedplanet.net
18182,Prince Edward Point National Wildlife Area,National Wildlife Area,44.039,ON-MAIN-575c5e66,https://www.protectedplanet.net
18182,Prince Edward Point National Wildlife Area,National Wildlife Area,44.039,ON-MAIN-4a6187a4,https://www.protectedplanet.net
18185,Rockwood National Wildlife Area,National Wildlife Area,23.789,MB-MAIN-0d5c2cae,https://www.protectedplanet.net
18185,Rockwood National Wildlife Area,National Wildlife Area,24.979,MB-MAIN-b4ca1426,https://www.protectedplanet.net
18213,Lake Nipigon Provincial Park (Natural Environment Class),Provincial Park,10.861,ON-MAIN-eda110b0,https://www.protectedplanet.net
18214,Neys Provincial Park (Natural Environment Class),Provincial Park,44.104,ON-MAIN-6e9be24e,https://www.protectedplanet.net
18214,Neys Provincial Park (Natural Environment Class),Provincial Park,14.968,ON-MAIN-64bbe7e6,https://www.protectedplanet.net
18217,The Shoals Provincial Park (Natural Environment Class),Provincial Park,38.131,ON-MAIN-1c674cd0,https://www.protectedplanet.net
18219,Ivanhoe Lake Provincial Park (Natural Environment Class),Provincial Park,26.726,ON-MAIN-1c674cd0,https://www.protectedplanet.net
18221,Esker Lakes Provincial Park (Natural Environment Class),Provincial Park,15.188,ON-MAIN-1f126a43,https://www.protectedplanet.net
18221,Esker Lakes Provincial Park (Natural Environment Class),Provincial Park,12.489,ON-MAIN-74997012,https://www.protectedplanet.net
18221,Esker Lakes Provincial Park (Natural Environment Class),Provincial Park,37.789,ON-MAIN-4e0734b5,https://www.protectedplanet.net
18222,Kap-Kig-Iwan Provincial Park (Natural Environment Class),Provincial Park,39.298,ON-MAIN-1f126a43,https://www.protectedplanet.net
18222,Kap-Kig-Iwan Provincial Park (Natural Environment Class),Provincial Park,40.261,ON-MAIN-74997012,https://www.protectedplanet.net
18222,Kap-Kig-Iwan Provincial Park (Natural Environment Class),Provincial Park,47.769,ON-MAIN-6664e89b,https://www.protectedplanet.net
18224,Mississagi Provincial Park (Natural Environment Class),Provincial Park,47.649,ON-MAIN-484e4fa3,https://www.protectedplanet.net
18235,Charleston Lake Provincial Park (Natural Environment Class),Provincial Park,45.684,ON-MAIN-6bd6cc80,https://www.protectedplanet.net
18235,Charleston Lake Provincial Park (Natural Environment Class),Provincial Park,46.798,ON-MAIN-575c5e66,https://www.protectedplanet.net
18235,Charleston Lake Provincial Park (Natural Environment Class),Provincial Park,46.798,ON-MAIN-4a6187a4,https://www.protectedplanet.net
18237,Presqu'Ile Provincial Park (Natural Environment Class),Provincial Park,44.647,ON-MAIN-237587f6,https://www.protectedplanet.net
18246,Woodland Caribou Provincial Park (Wilderness Class),Provincial Park,31.59,ON-MAIN-46f71d5b,https://www.protectedplanet.net
18246,Woodland Caribou Provincial Park (Wilderness Class),Provincial Park,34.999,ON-MAIN-7f050560,https://www.protectedplanet.net
18246,Woodland Caribou Provincial Park (Wilderness Class),Provincial Park,39.304,MB-MAIN-27a90834,https://www.protectedplanet.net
18246,Woodland Caribou Provincial Park (Wilderness Class),Provincial Park,48.34,MB-MAIN-915d9faa,https://www.protectedplanet.net
18308,ALEZA LAKE ECOLOGICAL RESERVE,Ecological Reserve,48.156,BC-MAIN-382acb18,https://www.protectedplanet.net
18336,CHUNAMON CREEK ECOLOGICAL RESERVE,Ecological Reserve,45.327,BC-MAIN-23f67ea8,https://www.protectedplanet.net
18360,GINGIETL CREEK ECOLOGICAL RESERVE,Ecological Reserve,23.84,BC-MAIN-3ef4f421,https://www.protectedplanet.net
18361,GLADYS LAKE ECOLOGICAL RESERVE,Ecological Reserve,44.555,BC-MAIN-8eb8be0d,https://www.protectedplanet.net
18376,MACKINNON ESKER ECOLOGICAL RESERVE,Ecological Reserve,41.764,BC-MAIN-ed23117f,https://www.protectedplanet.net
18378,MCQUEEN CREEK ECOLOGICAL RESERVE,Ecological Reserve,20.87,BC-MAIN-aa76f6f2,https://www.protectedplanet.net
18379,MEGIN RIVER ECOLOGICAL RESERVE,Ecological Reserve,38.573,BC-MAIN-23155c25,https://www.protectedplanet.net
18392,NINGUNSAW RIVER ECOLOGICAL RESERVE,Ecological Reserve,44.903,BC-MAIN-857b7b89,https://www.protectedplanet.net
18392,NINGUNSAW RIVER ECOLOGICAL RESERVE,Ecological Reserve,47.56,BC-MAIN-4959ea63,https://www.protectedplanet.net
18392,NINGUNSAW RIVER ECOLOGICAL RESERVE,Ecological Reserve,31.637,BC-MAIN-b1fe389a,https://www.protectedplanet.net
18400,RASPBERRY HARBOUR ECOLOGICAL RESERVE,Ecological Reserve,47.069,BC-MAIN-23f67ea8,https://www.protectedplanet.net
18409,SIKANNI CHIEF RIVER ECOLOGICAL RESERVE,Ecological Reserve,41.464,BC-MAIN-891d3cb5,https://www.protectedplanet.net
18410,SKAGIT RIVER COTTONWOODS ECOLOGICAL RESERVE,Ecological Reserve,45.112,BC-MAIN-599152a0,https://www.protectedplanet.net
18411,SKAGIT RIVER FOREST ECOLOGICAL RESERVE,Ecological Reserve,49.439,BC-MAIN-599152a0,https://www.protectedplanet.net
18414,SKIHIST ECOLOGICAL RESERVE,Ecological Reserve,41.704,BC-MAIN-bf503b6b,https://www.protectedplanet.net
