intensity_id,year,commodity,type,subtype,unit,value,comment,main_id,facility_group_id,company_id,source_id
INT-e7e6a960-2023-1,2023,"Gold, silver",Water,Freshwater withdrawn for use intensity,m3 of water/t of ore processed,0.03242599309372303,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042091
INT-e7e6a960-2023-2,2023,"Gold, silver",Water,Freshwater withdrawn for use intensity,m3 of water/oz of gold,0.9280570810937134,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042092
INT-e7e6a960-2023-3,2023,"Gold, silver",Energy,Electricity intensity,kWh/t ore processed,34.42341742720361,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
INT-e7e6a960-2023-4,2023,"Gold, silver",Energy,Energy intensity,GJ/t ore processed,0.265028869173186,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
INT-dd723db4-2023-1,2023,Iron,GHG,scope1+2 intensity|mining operation,kgCO2eq/kt,1341.0,,NL-MAIN-dd723db4,,CMP-2da4630a,SRC_IronOreCompanyofCanadaInc_SR_2023
INT-dd723db4-2023-2,2023,Iron,GHG,scope1+2 intensity|concentrate,kgCO2eq/kt,813.0,,NL-MAIN-dd723db4,,CMP-2da4630a,SRC_IronOreCompanyofCanadaInc_SR_2023
INT-dd723db4-2023-3,2023,Iron,GHG,scope1+2 intensity|pellets,tCO2/kt,58.5,,NL-MAIN-dd723db4,,CMP-2da4630a,SRC_IronOreCompanyofCanadaInc_SR_2023
INT-dd723db4-2023-4,2023,Iron,GHG,scope1+2 intensity|saleable products,tCO2eq/t of total saleable product,0.0539,,NL-MAIN-dd723db4,,CMP-2da4630a,SRC_IronOreCompanyofCanadaInc_SR_2023
INT-aeafbb59-2023-1,2023,Gold,Water,Freshwater withdrawn for use intensity,m3 of water/t of ore processed,0.02,,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042028
INT-aeafbb59-2023-2,2023,Gold,Water,Freshwater withdrawn for use intensity,m3 of water/oz of gold,0.08,,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042029
