peatland_presence,main_id,source_id
No data,BC-MAIN-e34feb4d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-ed23117f,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-089f3c60,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-251d6364,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-be399420,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-3330383b,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-6fca9d6d,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,QC-MAIN-d4e2812a,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,AB-MAIN-9a0307f6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-715d4318,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NT-MAIN-94e652a5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-382acb18,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-4aef3cb2,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-95ec2625,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-51068f3b,https://greifswaldmoor.de/global-peatland-database-en.html
No data,AB-MAIN-7d4a0421,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,QC-MAIN-f9e41c2a,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-6664e89b,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-5398dfac,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-2cf66e65,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-7f050560,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-26b9aaf3,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-c1cc9f7c,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,NL-MAIN-c139de6d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-842ba1b4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-ca488f19,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-70d629b4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-efff21d3,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-0684a5d8,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,MB-MAIN-f7fde5b4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-ae473a4e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-7a11ae49,https://greifswaldmoor.de/global-peatland-database-en.html
No data,AB-MAIN-ca9625ce,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,NT-MAIN-b7cdf82c,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,ON-MAIN-d47616e5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-e1641dfb,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-c06904f0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-64bbe7e6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-22426144,https://greifswaldmoor.de/global-peatland-database-en.html
No data,MB-MAIN-0d5c2cae,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-92cdea80,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-bddeaef0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,MB-MAIN-b4ca1426,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-21b6ab35,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-de3d8b7b,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-529c96b4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-206041d1,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-abb3e1c7,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-30c1828c,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,ON-MAIN-f8313ebd,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-fcb287a4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-319e04a8,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-a97821c0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-ed85ac94,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-40ce0593,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-4724f4ba,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-956d050a,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-97ee890f,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-27a90834,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-fbe28fef,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-b031959a,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,QC-MAIN-b86f7d07,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,YT-MAIN-44857446,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-c3105f43,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-fc6f1a44,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-e2e67f8f,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-599152a0,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-be5b3dc8,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-da0b5c3d,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-c0684566,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-0898e255,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-854abe09,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-1a82a1b7,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-b5b81ee3,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-02884fb5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-a3c56a83,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-3f490561,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-586679b9,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-dd723db4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-7001a391,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-9a34108c,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-6bd6cc80,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-a832fb0a,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-12730593,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-575c5e66,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-6b998583,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-0414a373,https://greifswaldmoor.de/global-peatland-database-en.html
No data,AB-MAIN-35d0dc71,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-a2c6775d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-b1d981ca,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-54b7e152,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-aa793d35,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-649d2873,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-a555d9b9,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NB-MAIN-c1e4dee0,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,NL-MAIN-f021107e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-615ebdb4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-470b504b,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-4e0734b5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-237d67c1,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-c7247100,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-752fbcae,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NU-MAIN-8e62bfbc,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NU-MAIN-1ef8af2c,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-eb73fd68,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,QC-MAIN-9d41d417,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-2bb07cd3,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-aa76f6f2,https://greifswaldmoor.de/global-peatland-database-en.html
