prod_id,year,geography,commodity,reference_point,material_type,data_type,unit,value,value_tonnes,comment,main_id,facility_group_id,company_id,source_id
PROD-0898e255-2023-1,2023,Canada,Ore,Crude ore,Ore milled,Production,t,965567.0,965567.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-2,2023,Canada,Copper,Usable ore,Concentrate,Production,t,31900.0,31900.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-3,2023,Canada,Copper,Usable ore,Contained metal in concentrate,Production,t,6415.0,6415.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-4,2023,Canada,Copper,Usable ore,Contained metal in concentrate and doré produced,Production,t,12154.0,12154.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-5,2023,Canada,Gold,Usable ore,Contained metal in concentrate,Production,oz,69326.0,2.156281241,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-6,2023,Canada,Gold,Usable ore,Contained metal in concentrate and doré produced,Production,oz,187363.0,5.8276450705,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-7,2023,Canada,Silver,Usable ore,Contained metal in concentrate,Production,oz,461399.0,14.3511237965,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-8,2023,Canada,Silver,Usable ore,Contained metal in concentrate and doré produced,Production,oz,851723.0,26.4915663305,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-9,2023,Canada,Zinc,Usable ore,Concentrate,Production,t,66824.0,66824.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-10,2023,Canada,Zinc,Usable ore,Contained metal in concentrate,Production,t,34642.0,34642.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-0898e255-2023-11,2023,Canada,Zinc,Usable ore,Contained metal in concentrate and doré produced,Production,t,34642.0,34642.0,,MB-MAIN-0898e255,GRP-a13779f8,CMP-12afc634,SRC_HudbayMineralsInc_MDA25
PROD-ed85ac94-2024-1,2024,Canada,Copper,Usable ore,Contained metal in concentrate,Production,t,7154.0,7154.0,,ON-MAIN-ed85ac94,GRP-de097f20,CMP-d5f1c66b,SRC_Glencore_at-a-glance
PROD-ed85ac94-2024-2,2024,Canada,Ore,Crude ore,,Production,t,1025997.0,1025997.0,,ON-MAIN-ed85ac94,GRP-de097f20,CMP-d5f1c66b,SRC_Glencore_at-a-glance
PROD-ed85ac94-2024-3,2024,Canada,Nickel,Usable ore,Contained metal in concentrate,Production,t,7530.0,7530.0,"Mining Technology provides a figure of 18,59kt in 2023, we rely on official Glencore's data,",ON-MAIN-ed85ac94,GRP-de097f20,CMP-d5f1c66b,SRC_Glencore_at-a-glance
PROD-40ce0593-2024-1,2024,Canada,Nickel,Intermediate metal produced,Matte,Production,t,62251.0,62251.0,,ON-MAIN-40ce0593,GRP-de097f20,CMP-d5f1c66b,SRC_Glencore_at-a-glance
PROD-40ce0593-2024-2,2024,Canada,Copper,Intermediate metal produced,Matte,Production,t,13720.0,13720.0,,ON-MAIN-40ce0593,GRP-de097f20,CMP-d5f1c66b,SRC_Glencore_at-a-glance
PROD-GRP-dc07540b-2023-1,2023,Canada,Copper,Refined metal produced,Refinery production,Production,kt,57.9,57900.0,"""Finished production"", unclear what it refers to, Assumed refined production as it contains a refinery (Copper Cliff Complex)",,GRP-dc07540b,CMP-9617aef4,SRC_Vale_Vale'sperformancein1Q25-xls
PROD-GRP-dc07540b-2023-2,2023,Canada,Nickel,Refined metal produced,Refinery production,Production,kt,38.2,38200.0,"""Finished production"", unclear what it refers to, Assumed refined production as it contains a refinery (Copper Cliff Complex)",,GRP-dc07540b,CMP-9617aef4,SRC_Vale_Vale'sperformancein1Q25-xls
PROD-f4fc3276-2023-1,2023,Canada,Gold,Total extraction,Ore mined,Production,t,234671.0,234671.0,,ON-MAIN-f4fc3276,,CMP-79f8bb59,SRC_SilverLakeResourcesLtd_AR_2023
PROD-f4fc3276-2023-2,2023,Canada,Gold,Usable ore,Contained metal in concentrate,Production,oz,38659.0,1.2024302064999999,,ON-MAIN-f4fc3276,,CMP-79f8bb59,SRC_SilverLakeResourcesLtd_AR_2023
PROD-d3a4aba9-2022-1,2022,Canada,Cobalt,Refined metal produced,Refinery production,Production,t,3368.0,3368.0,Deducted as the difference and verified in the SR,AB-MAIN-d3a4aba9,,CMP-2ef1f553,SRC_SherrittInternationalCorporationandGeneralNickelCompanyS.A._TR_2023
PROD-d3a4aba9-2022-2,2022,Canada,Nickel,Refined metal produced,Refinery production,Production,t,32268.0,32268.0,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,SRC_SherrittInternationalCorporationandGeneralNickelCompanyS.A._TR_2023
PROD-e0a6250e-2023-1,2023,Canada,Copper,Usable ore,Contained metal in concentrate,Production,kt,4.7,4700.0,"""Finished production"", unclear what it refers to, Assumed metal in concentrate as it is a mine",MB-MAIN-e0a6250e,,CMP-9617aef4,SRC_Vale_Vale'sperformancein1Q25-xls
PROD-e0a6250e-2023-2,2023,Canada,Nickel,Usable ore,Contained metal in concentrate,Production,kt,7.9,7900.0,"""Finished production"", unclear what it refers to, Assumed metal in concentrate as it is a mine",MB-MAIN-e0a6250e,,CMP-9617aef4,SRC_Vale_Vale'sperformancein1Q25-xls
PROD-e0a6250e-2023-3,2023,Canada,Ore,Crude ore,Ore processed,Production,kt,1105.8823529411764,1105882.3529411764,"Assumed 0,5% ore grade and 85% recovery rate, taking copper as the reference",MB-MAIN-e0a6250e,,CMP-9617aef4,SRC_Vale_nan
PROD-GRP-147b3123-2023-1,2023,Canada,Gold,Total extraction,Ore mined,Production,kt,1541.0,1541000.0,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp._Financial_results
PROD-GRP-147b3123-2023-2,2023,Canada,Gold,Crude ore,Ore processed,Production,kt,1574.0,1574000.0,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp._Financial_results
PROD-GRP-147b3123-2023-3,2023,Canada,Gold,Usable ore,Contained metal in concentrate,Production,koz,132.9,4.13365515,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp._Financial_results
PROD-GRP-147b3123-2023-4,2023,Canada,Silver,Intermediate metal produced,Intermediate metal,Production,koz,16.0,0.497656,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp._Financial_results
PROD-3bb6b7cd-2024-1,2024,Canada,Zinc,Refined metal produced,Refinery production,Production,kt,256.0,256000.0,,BC-MAIN-3bb6b7cd,,CMP-06e20c6e,SRC_TeckResourcesLimited_2024_Annual_report
PROD-92628f16-2023-1,2023,Canada,Alumina,Intermediate metal produced,Smelter grade alumina,Production,kt,1391.80580303269,1391805.80303269,,QC-MAIN-92628f16,GRP-677b5973,CMP-7a096012,SRC_RioTinto_rt-fact-book-addendum
PROD-2d8801d6-2023-1,2023,Canada,Copper,Usable ore,Contained metal in concentrate,Production,kt,9.6,9600.0,"""Finished production"", unclear what it refers to, Assumed metal in concentrate as it is a mine",NL-MAIN-2d8801d6,,CMP-9617aef4,SRC_Vale_Vale'sperformancein1Q25-xls
PROD-2d8801d6-2023-2,2023,Canada,Nickel,Usable ore,Contained metal in concentrate,Production,kt,13.5,13500.0,"""Finished production"", unclear what it refers to, Assumed metal in concentrate as it is a mine",NL-MAIN-2d8801d6,,CMP-9617aef4,SRC_Vale_Vale'sperformancein1Q25-xls
PROD-2d8801d6-2023-3,2023,Canada,Ore,Crude ore,Ore processed,Production,kt,2258.8235294117644,2258823.5294117643,"Assumed 0,5% ore grade and 85% recovery rate, taking copper as the reference",NL-MAIN-2d8801d6,,CMP-9617aef4,SRC_Vale_nan
PROD-02884fb5-2023-1,2023,Canada,Ore,Crude ore,Ore milled,Production,kt,1034.0,1034000.0,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
PROD-02884fb5-2023-2,2023,Canada,Ore,Total extraction,Ore mined,Production,kt,1022.0,1022000.0,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
PROD-02884fb5-2023-3,2023,Canada,Gold,Usable ore,Contained metal in concentrate,Production,koz,93.0,2.8926255,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_operational_data
PROD-7607a50e-2023-1,2023,Canada,Gold,Usable ore,Contained metal in concentrate,Production,oz,185100.0,5.757257849999999,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
PROD-7607a50e-2023-2,2023,Canada,Gold,Total extraction,Ore mined,Production,t,2878155.0,2878155.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
PROD-7607a50e-2023-3,2023,Canada,Gold,Crude ore,Ore processed,Production,t,2878047.0,2878047.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023
1754055_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,863000.0036928342,863000.0036928342,,ON-MAIN-6e9b2449,GRP-dc07540b,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754056_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,985000.0042148804,985000.0042148804,,ON-MAIN-f080c409,GRP-dc07540b,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754057_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,14575000.06236739,14575000.06236739,,BC-MAIN-599152a0,,CMP-12afc634,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754058_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,406000.0017373009,406000.0017373009,,ON-MAIN-52224e1e,GRP-dc07540b,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754060_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,650000.002781393,650000.002781393,,ON-MAIN-48fe2205,GRP-dc07540b,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754061_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,88100000.37698573,88100000.37698573,,BC-MAIN-6b4800fe,,CMP-e35f138c,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754066_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,72886000.31188402,72886000.31188402,,BC-MAIN-bf503b6b,,CMP-06e20c6e,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
