tailing_id,year,tsf_name,status,construction_year,raise_type,current_maximum_height,current_storage,hazard_categorization,classification_system,geometry,main_id,source_id
12.0,2019,North Cell,Active,2009.0,"Downstream, Upstream",31.0,14400000,Medium,Canadian Dam Association,POINT (-96.043328 65.021558),NU-MAIN-730aefe3,https://tailing.grida.no/
13.0,2019,South Cell,Active,2012.0,Downstream,49.0,10420000,Medium,Canadian Dam Association,POINT (-96.033391 65.013782),NU-MAIN-730aefe3,https://tailing.grida.no/
14.0,2019,In pit,Active,2009.0,,,850000,Low,,POINT (-96.032544 65.001901),NU-MAIN-730aefe3,https://tailing.grida.no/
15.0,2019,Meliadine TSF,Active,2019.0,,5.0,89000,Medium,Canadian Dam Association,POINT (-92.140336 63.020829),NU-MAIN-8b0264c9,https://tailing.grida.no/
16.0,2019,South TSF,Active,2007.0,Not Raised,5.0,1664000,Medium,Canadian Dam Association,POINT (-77.841978 48.054342),QC-MAIN-c0660aec,https://tailing.grida.no/
23.0,2019,Principal TSF,Active,1988.0,Upstream,30.0,29923000,Medium,Canadian Dam Association,POINT (-78.417616 48.257872),QC-MAIN-e51eda66,https://tailing.grida.no/
24.0,2019,Extension A4,Active,2010.0,Not Raised,18.0,1500000,Medium,Canadian Dam Association,POINT (-78.400641 48.254847),QC-MAIN-e51eda66,https://tailing.grida.no/
1652.0,2019,Tailings Impoundment Area -7 East Dam,Active,2012.0,Downstream,50.0,2500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),ON-MAIN-7607a50e,https://tailing.grida.no/
1653.0,2019,Tailings Impoundment Area -7 West Dam,Active,2012.0,Modified Centreline,40.0,2500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),ON-MAIN-7607a50e,https://tailing.grida.no/
1654.0,2019,Tailings Impoundment Area -7 North Dam,Active,2014.0,Modified Centreline,12.0,2500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),ON-MAIN-7607a50e,https://tailing.grida.no/
1655.0,2019,Tailings Impoundment Area -7 South Saddle Dam,Active,2018.0,Upstream,7.0,2500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),ON-MAIN-7607a50e,https://tailing.grida.no/
1656.0,2019,Primary Pond Dyke 1,Active,1988.0,Downstream,11.0,486000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),ON-MAIN-687b8c8d,https://tailing.grida.no/
