tailing_id,year,tsf_name,status,construction_year,raise_type,current_maximum_height,current_storage,hazard_categorization,classification_system,geometry,main_id,source_id
1657.0,2019,Primary Pond Dyke 2,Active,2011.0,Downstream,8.0,486000,Moderate,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),ON-MAIN-687b8c8d,https://tailing.grida.no/
1658.0,2019,Primary Pond Dyke 3,Active,2011.0,Downstream,10.0,486000,Moderate,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),ON-MAIN-687b8c8d,https://tailing.grida.no/
1659.0,2019,Primary Pond Dyke 4,Active,2011.0,Downstream,10.0,486000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),ON-MAIN-687b8c8d,https://tailing.grida.no/
1660.0,2019,Primary Pond Dyke 5,Active,2015.0,Downstream,5.0,486000,Moderate,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),ON-MAIN-687b8c8d,https://tailing.grida.no/
28.0,2019,Gahcho Kué Area 2 FINE PKC,Active,2016.0,Downstream,12.0,3500000,Major,Anglo American Technical Standard (AA TS 602 001),POINT (-109.2117519 63.463619),NT-MAIN-94e652a5,https://tailing.grida.no/
29.0,2019,Gahcho Kué Course PKC Pile,Active,2016.0,Dry stack,20.0,2900000,High,Anglo American Technical Standard (AA TS 602 001),POINT (-109.2117519 63.463619),NT-MAIN-94e652a5,https://tailing.grida.no/
1416.0,2019,Mont Wright TSF,Active,1981.0,Sidehill embankment,100.0,725000000,Very High,Canadian Dam Association,POINT (-67.3866583 52.7982639),QC-MAIN-084bd95c,https://tailing.grida.no/
827.0,2019,Kemess South TSF,Inactive,1998.0,Modified Centreline,180.0,141000000,Very High,Canadian Dam Association (CDA) 2013,POINT (-126.66972 57.0216667),BC-MAIN-e34feb4d,https://tailing.grida.no/
225.0,2019,Albino Lake TSF,Closed,1997.0,Lake,,200000,Not rated,,POINT (-130.496457 56.650496),BC-MAIN-b1fe389a,https://tailing.grida.no/
226.0,2019,Tom McKay TSF,Closed,2001.0,Lake,,500000,Not rated,,POINT (-130.520252 56.619746),BC-MAIN-b1fe389a,https://tailing.grida.no/
194.0,2019,David Bell / Williams Basin,Active,1985.0,"Upstream, Downstream",41.0,68000000,Very High,Canadian Dam Association (CDA),POINT (-85.878245 48.668708),ON-MAIN-6e9be24e,https://tailing.grida.no/
1344.0,2019,KL AGTMF,Inactive,1983.0,Single Stage,20.0,5800000,Not classified,,POINT (-105.7030556 57.2069444),SK-MAIN-bb89158f,https://tailing.grida.no/
1346.0,2019,DTMF,Inactive Care and Maintenance,1996.0,In-pit,,9300000,,,POINT (-105.63 57.2083333),SK-MAIN-bb89158f,https://tailing.grida.no/
1524.0,2019,Detour Lake Mine - TMA Cell 1,Active,2013.0,Centreline,49.0,80000000,Moderate,Canadian Dam Association / Ministry of Natural Resources and Forestry,POINT (-79.70275 50.0196806),ON-MAIN-aeafbb59,https://tailing.grida.no/
716.0,2019,Noranda 4 (Principal Dyke),Inactive,1947.0,Downstream,9.1,1880000,High,CDA 2007 (2013),POINT (-79.07333333 48.23),QC-MAIN-30c1828c,https://tailing.grida.no/
717.0,2019,"Noranda 5 Polishing Pond (South, North-East  and West Dyke)",Active,2012.0,Downstream,9.5,2900000,Very High,CDA 2007 (2013),POINT (-79.08833333 48.22638889),QC-MAIN-30c1828c,https://tailing.grida.no/
718.0,2019,"Noranda 5 (Dyke N5-1,2,3)",Active,2015.0,Upstream,8.0,5000000,Very High,CDA 2007 (2013),POINT (-79.09444444 48.22111111),QC-MAIN-30c1828c,https://tailing.grida.no/
719.0,2019,Waite Amulet TSF (Acid rock drainage water pond) (Principal Dike),Closed,1973.0,Centreline,3.0,650000,,CDA 2007 (2013),POINT (-79.07521111 48.33078889),QC-MAIN-30c1828c,https://tailing.grida.no/
720.0,2019,Quémont-2 TSF (A-G),Inactive,1989.0,Downstream,14.0,8200000,Very High,CDA 2007 (2013),POINT (-78.97833333 48.26805556),QC-MAIN-30c1828c,https://tailing.grida.no/
738.0,2019,Neutralizing Reservoir Dam,Active,1968.0,Centreline,15.0,9000000,Very High,CDA 2007 (2013),POINT (-81.33527778 46.64277778),ON-MAIN-ed85ac94,https://tailing.grida.no/
739.0,2019,Polishing Reservoir Dam,Inactive,,Centreline,8.0,0,Very High,CDA 2007 (2013),POINT (-81.349975 46.64514444),ON-MAIN-ed85ac94,https://tailing.grida.no/
740.0,2019,Strathcona Tailings Area Dam 3A & 3B,Active,2001.0,Centreline,13.0,4000000,Very High,CDA 2007 (2013),POINT (-81.31111111 46.65916667),ON-MAIN-ed85ac94,https://tailing.grida.no/
1677.0,2019,Casa Berardi Cell 4,Active,2010.0,Upstream,8.0,5000000,High,Candian Dam Association Consequence Classification,POINT (-79.240528 49.555972),QC-MAIN-b86f7d07,https://tailing.grida.no/
1685.0,2019,Casa Berardi Cell #1,Inactive,1989.0,Downstream,8.0,nan,High,Candian Dam Association Consequence Classification,POINT (-79.232417 49.560333),QC-MAIN-b86f7d07,https://tailing.grida.no/
1686.0,2019,Casa Berardi Cell #2,Closure,1993.0,Upstream,19.0,nan,Significant,Candian Dam Association Consequence Classification,POINT (-79.223056 49.561333),QC-MAIN-b86f7d07,https://tailing.grida.no/
1687.0,2019,Casa Berardi Cell #3,Inactive,1988.0,Centreline,7.0,nan,Significant,Candian Dam Association Consequence Classification,POINT (-79.235528 49.560389),QC-MAIN-b86f7d07,https://tailing.grida.no/
375.0,2019,PKC TSF,Active,2002.0,Modified Centreline,48.0,34025000,High,Canadian Dam Association (CDA) 2013,POINT (-110.31224 64.4914),NT-MAIN-0ec39ce0,https://tailing.grida.no/
1868.0,2019,Dome No.6 TMA,Active,1983.0,"Downstream , Centreline , Upstream",33.0,72000000,Extreme,Canadian Dam Association,POINT (-81.2136 48.4374),ON-MAIN-3b3e5365,https://tailing.grida.no/
1869.0,2019,Coniaurum,Inactive Care and Maintenance,1913.0,Upstream,10.0,4900000,Low,Canadian Dam Association,POINT (-81.283 48.4976),ON-MAIN-3b3e5365,https://tailing.grida.no/
1871.0,2019,"Dome 1, 2, 2A",Inactive Care and Maintenance,1925.0,Upstream,24.0,35000000,Significant,Canadian Dam Association,POINT (-81.2476 48.4763),ON-MAIN-3b3e5365,https://tailing.grida.no/
1872.0,2019,Dome 3,Inactive Care and Maintenance,1961.0,Upstream,18.0,6800000,Unknown,Not Classified,POINT (-81.2432 48.4696),ON-MAIN-3b3e5365,https://tailing.grida.no/
1873.0,2019,Dome 4,Inactive Care and Maintenance,1979.0,Upstream,10.0,1600000,Unknown,Not Classified,POINT (-81.2549 48.4665),ON-MAIN-3b3e5365,https://tailing.grida.no/
1874.0,2019,Dome 5,Inactive Care and Maintenance,1925.0,Upstream,8.0,700000,Unknown,Not Classified,POINT (-81.2519 48.4635),ON-MAIN-3b3e5365,https://tailing.grida.no/
1875.0,2019,Paymaster North,Inactive Care and Maintenance,1915.0,Upstream,11.0,2800000,Unknown,Not Classified,POINT (-81.2674 48.4537),ON-MAIN-3b3e5365,https://tailing.grida.no/
1876.0,2019,Paymaster South,Inactive Care and Maintenance,1915.0,Upstream,10.0,1500000,Unknown,Not Classified,POINT (-81.2599 48.4425),ON-MAIN-3b3e5365,https://tailing.grida.no/
1877.0,2019,McIntyre,Inactive Care and Maintenance,1912.0,Upstream,5.0,32200000,Significant,Canadian Dam Association,POINT (-81.2832 48.4997),ON-MAIN-3b3e5365,https://tailing.grida.no/
1878.0,2019,Pamour T3,Inactive Care and Maintenance,1936.0,Upstream,14.0,17500000,Significant,Canadian Dam Association,POINT (-81.1329 48.5269),ON-MAIN-3b3e5365,https://tailing.grida.no/
1879.0,2019,Pamour T2,Inactive Care and Maintenance,1936.0,Upstream,30.0,20700000,Significant,Canadian Dam Association,POINT (-81.1233 48.5167),ON-MAIN-3b3e5365,https://tailing.grida.no/
1880.0,2019,Pamour T1,Inactive Care and Maintenance,1936.0,Upstream,15.0,3900000,Unknown,Not Classified,POINT (-81.1136 48.5279),ON-MAIN-3b3e5365,https://tailing.grida.no/
1881.0,2019,Aunor A,Inactive Care and Maintenance,1940.0,Upstream,14.0,700000,Significant,Canadian Dam Association,POINT (-81.2775 48.4419),ON-MAIN-3b3e5365,https://tailing.grida.no/
1882.0,2019,Aunor B,Inactive Care and Maintenance,1940.0,Upstream,18.0,1500000,Moderate,Canadian Dam Association,POINT (-81.2818 48.4382),ON-MAIN-3b3e5365,https://tailing.grida.no/
1883.0,2019,Delnite,Inactive Care and Maintenance,1937.0,Upstream,16.0,1600000,Moderate,Canadian Dam Association,POINT (-81.29701 48.43722),ON-MAIN-3b3e5365,https://tailing.grida.no/
1885.0,2019,Campbell Complex,Active,1983.0,Upstream,14.0,7000000,Very High,Canadian Dam Association,POINT (-93.7575 51.0641),ON-MAIN-7f050560,https://tailing.grida.no/
1886.0,2019,Red Lake Complex,Active,1960.0,"Modified Centreline, Downstream",8.0,6000000,Significant,Canadian Dam Association,POINT (-93.7158 51.0641),ON-MAIN-7f050560,https://tailing.grida.no/
1887.0,2019,Balmer Tailings,Inactive Care and Maintenance,1949.0,Other,3.0,2500000,Low,Canadian Dam Association,POINT (-93.7575 51.0641),ON-MAIN-7f050560,https://tailing.grida.no/
1888.0,2019,Cochenour Wilanour Complex,Inactive Care and Maintenance,1939.0,Centreline,7.0,1800000,High,Canadian Dam Association,POINT (-93.4843 51.0418),ON-MAIN-7f050560,https://tailing.grida.no/
1890.0,2019,Musselwhite TMA,Active,1996.0,"Centreline, Upstream",21.0,12000000,Significant,Canadian Dam Association,POINT (-90.3806 52.5974),ON-MAIN-fefeaee4,https://tailing.grida.no/
1436.0,2019,Bell Creek,Active,1988.0,"Downstream, Centreline",10.0,6700000,Low to Significant,CDA Dam Consequence Classification,POINT (-81.19 48.55),ON-MAIN-bfbcd72e,https://tailing.grida.no/
19.0,2019,Canadian Malartic TSF,Active,1991.0,Upstream,42.0,96000000,Medium,Canadian Dam Association,POINT (-78.091518 48.112562),QC-MAIN-e7e6a960,https://tailing.grida.no/
746.0,2019,Raglan (Tailings Dry Stack),Active,1998.0,Dry stack,35.0,11000000,Significant,CDA 2007 (2013),POINT (-73.67841389 61.687425),QC-MAIN-a97821c0,https://tailing.grida.no/
456.0,2019,Laterriere TSF - Basins XC-XD,Inactive,1967.0,Downstream,30.0,10000000,High,Canadian Dam Association (CDA) 2013,POINT (-71.2042 48.34421),QC-MAIN-92628f16,https://tailing.grida.no/
457.0,2019,Local TSF - Jonquiere,Active,1942.0,Downstream,40.0,30000000,Very High,Canadian Dam Association (CDA) 2013,POINT (-71.15169 48.41559),QC-MAIN-92628f16,https://tailing.grida.no/
1508.0,2019,"Seabee Mine, Triangle Lake TSF – 2 dams and 2 saddle dikes",Active,2004.0,Modified Centreline,19.0,2750000,High,Canadian Dam Association Consequence Classification Ratings for Dams,POINT (-103.57932 55.6903833),SK-MAIN-29afbdb5,https://tailing.grida.no/
1509.0,2019,"Seabee Mine, East Lake TSF – 3 concrete perimeter dams",Active,1991.0,Centreline,8.0,2550000,Significant,Canadian Dam Association Consequence Classification Ratings for Dams,POINT (-103.59224 55.6900444),SK-MAIN-29afbdb5,https://tailing.grida.no/
1767.0,2019,Triangle Lake TSF – 2 dams and 2 saddle dikes,Active,2004.0,"Modified Centreline, Upstream",19.0,2750000,high,Canadian Dam Association Consequence Classification Ratings for Dam,POINT (-103.57932 55.6903833),SK-MAIN-29afbdb5,https://tailing.grida.no/
1768.0,2019,East Lake TSF – 3 concrete perimeter dams,Active,1991.0,Centreline,8.0,2500000,Significant,Canadian Dam Association Consequence Classification Ratings for Dam,POINT (-103.59224 55.6900444),SK-MAIN-29afbdb5,https://tailing.grida.no/
744.0,2019,Nickel Rim South NR-2,Inactive,,Downstream,2.5,Unknown,Significant,CDA 2007 (2013),POINT (-80.80472222 46.67027778),ON-MAIN-fcb287a4,https://tailing.grida.no/
745.0,2019,Nickel Rim South (Moose Lake Dam),Inactive,2003.0,Downstream,5.0,0,Significant,CDA 2007 (2013),POINT (-80.7975 46.66083333),ON-MAIN-fcb287a4,https://tailing.grida.no/
1309.0,2019, Bethlehem,Inactive,1964.0,"Upstream, Centreline, Downstream",91.0,68100000,Very High,CDA,POINT (-120.987025 50.5094),BC-MAIN-bf503b6b,https://tailing.grida.no/
1310.0,2019,Highland,Active,1977.0,Centreline,161.0,1190300000,Extreme ,CDA,POINT (-121.122614 50.547334),BC-MAIN-bf503b6b,https://tailing.grida.no/
1311.0,2019,Highmont,Inactive,1980.0,Centreline,47.0,27700000,High,CDA,POINT (-120.92119 50.432155),BC-MAIN-bf503b6b,https://tailing.grida.no/
1312.0,2019,Trojan,Inactive,1973.0,"Centreline, Upstream",70.0,26000000,Very High,CDA,POINT (-121.005987 50.514552),BC-MAIN-bf503b6b,https://tailing.grida.no/
1319.0,2019,Pine Point ,Inactive,1964.0,Downstream,9.0,36597270,"Low, Significant",CDA Guidelines,POINT (-114.437272 60.879272),NT-MAIN-b99d4cb2,https://tailing.grida.no/
826.0,2019,Mount Milligan TSF,Active,2013.0,Centreline,100.0,86000000,Very High,Canadian Dam Association (CDA) 2013,POINT (-124.02302 55.125756),BC-MAIN-ed23117f,https://tailing.grida.no/
1115.0,2019,Voisey's Bay TSF,Active,2005.0,Single Stage,11.0,20100000,Very High,Canadian Dam Association,POINT (-61.986333 56.323),NL-MAIN-2d8801d6,https://tailing.grida.no/
1116.0,2019,Long Harbour,Active,2013.0,Single Stage,10.0,930000,Extreme,Canadian Dam Association,POINT (-53.81225 47.41325),NL-MAIN-d9036091,https://tailing.grida.no/
1117.0,2019,FETA Dam,Inactive Care and Maintenance,1968.0,Single Stage,12.0,5100000,Low,Canadian Dam Association,POINT (-81.024806 46.5158611),ON-MAIN-40ce0593,https://tailing.grida.no/
1120.0,2019,Thompson TSF Dam A ¹,Active,1971.0,Downstream,26.0,42000000,Significant,Canadian Dam Association,POINT (-97.805056 55.7040278),MB-MAIN-e0a6250e,https://tailing.grida.no/
1121.0,2019,Thompson TSF Other Dams ¹,Active,1971.0,Downstream,26.0,42000000,Very High,Canadian Dam Association,POINT (-97.805056 55.7040278),MB-MAIN-e0a6250e,https://tailing.grida.no/
1122.0,2019,Upper Pond Tailings Facility,Inactive Care and Maintenance,1929.0,Upstream,19.0,3900000,Extreme,Canadian Dam Association,POINT (-81.050833 46.4863056),ON-MAIN-f080c409,https://tailing.grida.no/
1123.0,2019,A Area Tailings,Inactive Care and Maintenance,1936.0,Upstream,25.0,8400000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1124.0,2019,M Area Tailings,Inactive Care and Maintenance,1945.0,Upstream,37.0,58600000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1125.0,2019,P Area Tailings,Inactive Care and Maintenance,1960.0,Upstream,45.0,59700000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1126.0,2019,R1 Tailings,Active,1985.0,"Compacted
Outer Shell",14.0,2900000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1127.0,2019,R2 Tailings,Active,1985.0,"Compacted
Outer Shell",13.0,18000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1128.0,2019,R3 Tailings,Active,1985.0,"Compacted
Outer Shell",27.0,39000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1129.0,2019,R4 Tailings,Active,1990.0,"Compacted
Outer Shell",22.0,59000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),ON-MAIN-f080c409,https://tailing.grida.no/
1243.0,2019,Canadian Malartic TSF,Active,2012.0,Upstream,40.0,96000000,Medium to High,CDA/Yamana,POINT (-78.1036111 48.1113889),QC-MAIN-e7e6a960,https://tailing.grida.no/
