archetype_id,deposit_cmmi,deposit_mdo,ore_type,mining_method,mining_submethod,main_id,facility_group_id,source_id
ARCH-ed85ac94-1,"Magmatic hydrothermal;Epithermal;IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn","Veing / narrow vein, Contact-metasomatic, Footwall hosted",Oxide or Sulfide,Concentrator,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-ed85ac94,GRP-de097f20,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-GRP-dc07540b-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Magmatic, Footwall hosted, Breccia pipe / Stockwork",Sulfide,"Open-pit, underground, concentrator","Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",,GRP-dc07540b,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-f4fc3276-1,,"Porphyry, Vein / narrow vein, Mesothermal",Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-f4fc3276,,https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-915d9faa-1,,Pegmatite,Oxide,"Underground, concentrator, plant","Underground – Room and pillar – Room-and-Pillar, Underground – Stoping – Long-Hole Stoping",MB-MAIN-915d9faa,,https://miningdataonline.com/property/1741/Sugar-Zone-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-e0a6250e-1,Magmatic;Komatiite;Komatiite Ni-Cu-PGE,"Vein / narrow vein, Breccia pipe / Stockwork, Magmatic",Sulfide,"Smelter, refinery, plant","Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",MB-MAIN-e0a6250e,,https://miningdataonline.com/property/417/Voiseys-Bay-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-f3e6ff08-1,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au,"Vein / narrow vein, Mesothermal, Intrusion related",Sulfide,Underground,Underground – Stoping – Long-Hole Stoping,ON-MAIN-f3e6ff08,GRP-147b3123,https://miningdataonline.com/property/8/Bell-Creek-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-28f3f0fc-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,Magmatic,Sulfide,Refinery,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-28f3f0fc,GRP-dc07540b,https://miningdataonline.com/property/626/Totten-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-2d8801d6-1,Magmatic;Anorthosite conduit;Anorthosite conduit Ni-Cu-PGE,Magmatic,Sulfide,Refinery,Underground – Stoping – Cut-and-Fill Stoping,NL-MAIN-2d8801d6,,https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-02884fb5-1,Volcanic basin hydrothermal;Volcanogenic massive sulfide (VMS);Bimodal-felsic VMS,"VMS, Vein / narrow vein, Intrusion related, Orogenic",Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",QC-MAIN-02884fb5,,https://miningdataonline.com/property/77/Westwood-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-7607a50e-1,,"Intrusion related, Syenite hosted",,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-7607a50e,,https://miningdataonline.com/property/1484/young-davidson-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-UNKNOWN-1,,,,,,,,https://miningdataonline.com/property/1254/Eagle-River-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
