main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,geometry,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owner(s),operator(s),operation_periods,company_URL,facility_URL,MDO_URL,source_id
NU-MAIN-8b0264c9,Meliadine,,,CMP-6265c407,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/meliadine/default.aspx,https://miningdataonline.com/property/959/Meliadine-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
MB-MAIN-5d21dbd5,Monument Bay,,,CMP-6265c407,Agnico Eagle Mines Limited,,Manitoba,POINT (-92.914016 54.446415),project_facility,Active,Advanced project,project,,,"Gold, tungsten",,,,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/laronde/default.aspx,https://www.agnicoeagle.com/English/exploration/exploration-projects/Upper-Beaver/default.aspx,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
ON-MAIN-74997012,Upper Beaver,,,CMP-6265c407,Agnico Eagle Mines Limited,,Ontario,POINT (-79.76 48.16),project_facility,Active,Advanced project,project,,,"Gold, copper",,,,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/laronde/default.aspx,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
ON-MAIN-687b8c8d,Island,,,CMP-3a4ccc7f,Alamos Gold Inc,Dubreuilville,Ontario,POINT (-84.449604 48.285667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/island-gold-canada/default.aspx,https://miningdataonline.com/property/7/Island-Gold-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-7607a50e,Young-Davidson,,,CMP-3a4ccc7f,Alamos Gold Inc,Matachewan,Ontario,POINT (-80.67444 47.94667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,1917–1957; 2010–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
QC-MAIN-52c01ae4,Baie-Comeau,,,CMP-140e111b,Alcoa Corporation,,Quebec,POINT (-68.1491 49.2562),active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Alcoa Corporation (100%),Alcoa Corporation,,https://www.alcoa.com/global/en/home/,https://fr-ca.alcoa.com/canada/fr/factories,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
QC-MAIN-eac5a52b,Deschambault,,,CMP-140e111b,Alcoa Corporation,,Quebec,POINT (-71.9467 46.6939),active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure),Alcoa Corporation (100%),Alcoa Corporation,,https://www.alcoa.com/global/en/home/,https://fr-ca.alcoa.com/canada/fr/factories,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
QC-MAIN-81a288d0,Elysis,,,CMP-dc21de8a,Alcoa Corporation / Rio Tinto,,Quebec,POINT (-71.17565 48.43214),project_facility,Active,Advanced processing project,project,,,Aluminum,,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
QC-MAIN-c8966bdc,Bécancour,,,CMP-dc21de8a,Alcoa Corporation / Rio Tinto,,Quebec,POINT (-72.3852 46.381),active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),"Alcoa Corporation (74.95%), Rio Tinto (25.05%)",Alcoa Corporation,,https://www.alcoa.com/global/en/home/,"https://www.riotinto.com/en/operations/canada/saguenay
https://www.alcoa.com/canada/fr/factories",-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
ON-MAIN-eab8c362,Algoma Steel,,,CMP-0f9c0b53,Algoma Steel Inc,,Ontario,POINT (-84.36664 46.52055),active_facility,,,manufacturing,Basic oxygen furnace,Iron ore,Steel,Algoma Steel (100%)?,Algoma Steel?,,https://www.algoma.com/,https://www.gem.wiki/Algoma_steel_plant#cite_note-autoref_12-21,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
