water_risk_id,indicator,year,scenario,value,main_id,source_id
water_risk-d29e0839-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2030-opt-3,Interannual Variability Label,2030,opt,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-bau-3,Interannual Variability Label,2050,bau,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-pes-3,Interannual Variability Label,2050,pes,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2050-opt-3,Interannual Variability Label,2050,opt,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-bau-3,Interannual Variability Label,2080,bau,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-pes-3,Interannual Variability Label,2080,pes,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-d29e0839-2080-opt-3,Interannual Variability Label,2080,opt,Low - Medium (0.25-0.50),QC-MAIN-d29e0839,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-f1ff4920-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),QC-MAIN-f1ff4920,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-f1ff4920-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),QC-MAIN-f1ff4920,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-f1ff4920-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),QC-MAIN-f1ff4920,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-f1ff4920-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,QC-MAIN-f1ff4920,https://www.wri.org/data/aqueduct-global-maps-40-data
